timestamp,mocap_gx,mocap_gy,mocap_gz,kalman_offset_gx,kalman_offset_gy,kalman_offset_gz,madgwick_offset_gx,madgwick_offset_gy,madgwick_offset_gz
59.547767,-0.198348,-0.064330,-9.807784,-0.155249,0.136885,-9.807816,-0.081465,0.160518,-9.808348
59.550040,-0.198348,-0.064330,-9.807784,-0.155249,0.136826,-9.807817,-0.083875,0.153185,-9.808445
59.552313,-0.198348,-0.064330,-9.807784,-0.155249,0.136769,-9.807818,-0.081849,0.149431,-9.808520
59.554586,-0.198348,-0.064330,-9.807784,-0.155249,0.136712,-9.807819,-0.080249,0.151919,-9.808495
59.556859,-0.199877,-0.060903,-9.807774,-0.155249,0.136655,-9.807819,-0.079327,0.146517,-9.808585
59.559132,-0.199877,-0.060903,-9.807774,-0.155250,0.136600,-9.807820,-0.083156,0.151969,-9.808470
59.561405,-0.199877,-0.060903,-9.807774,-0.155225,0.136558,-9.807821,-0.080527,0.151146,-9.808505
59.563678,-0.198291,-0.064180,-9.807786,-0.155200,0.136516,-9.807822,-0.078162,0.151969,-9.808511
59.565951,-0.198291,-0.064180,-9.807786,-0.155176,0.136475,-9.807823,-0.075632,0.152094,-9.808529
59.568224,-0.198291,-0.064180,-9.807786,-0.155093,0.136430,-9.807825,-0.073006,0.151055,-9.808565
59.570497,-0.198740,-0.063515,-9.807781,-0.155011,0.136386,-9.807827,-0.071951,0.154247,-9.808523
59.572770,-0.198740,-0.063515,-9.807781,-0.154930,0.136342,-9.807829,-0.075353,0.146752,-9.808613
59.575043,-0.198740,-0.063515,-9.807781,-0.154849,0.136299,-9.807831,-0.075616,0.151107,-9.808545
59.577316,-0.198740,-0.063515,-9.807781,-0.154770,0.136256,-9.807833,-0.073195,0.151691,-9.808554
59.579589,-0.198740,-0.063515,-9.807781,-0.154724,0.136218,-9.807834,-0.082026,0.154728,-9.808437
59.581862,-0.199648,-0.061678,-9.807774,-0.154678,0.136180,-9.807835,-0.079534,0.152265,-9.808496
59.584135,-0.199648,-0.061678,-9.807774,-0.154633,0.136143,-9.807836,-0.077021,0.152487,-9.808512
59.586408,-0.199648,-0.061678,-9.807774,-0.154641,0.136096,-9.807837,-0.086381,0.148082,-9.808502
59.588681,-0.199648,-0.061678,-9.807774,-0.154649,0.136050,-9.807837,-0.084268,0.149601,-9.808497
59.590954,-0.199648,-0.061678,-9.807774,-0.154657,0.136004,-9.807838,-0.081913,0.150448,-9.808504
59.593227,-0.199268,-0.063106,-9.807773,-0.154664,0.135959,-9.807838,-0.079472,0.150981,-9.808516
59.595500,-0.199268,-0.063106,-9.807773,-0.154672,0.135914,-9.807839,-0.077753,0.153278,-9.808494
59.597773,-0.198970,-0.063263,-9.807778,-0.154679,0.135869,-9.807839,-0.085315,0.146967,-9.808528
59.600046,-0.198970,-0.063263,-9.807778,-0.154687,0.135826,-9.807840,-0.083818,0.149613,-9.808501
59.602319,-0.198970,-0.063263,-9.807778,-0.154735,0.135916,-9.807838,-0.087016,0.155030,-9.808389
59.604592,-0.198897,-0.063430,-9.807778,-0.154784,0.136005,-9.807836,-0.087629,0.159602,-9.808310
59.606865,-0.198897,-0.063430,-9.807778,-0.154831,0.136093,-9.807834,-0.086037,0.162053,-9.808284
59.609138,-0.198897,-0.063430,-9.807778,-0.154809,0.136041,-9.807835,-0.085772,0.156103,-9.808383
59.611411,-0.198897,-0.063430,-9.807778,-0.154786,0.135989,-9.807836,-0.084155,0.151713,-9.808466
59.613684,-0.198897,-0.063430,-9.807778,-0.154764,0.135938,-9.807837,-0.081698,0.149443,-9.808521
59.615957,-0.198256,-0.063843,-9.807789,-0.154742,0.135887,-9.807838,-0.079150,0.149158,-9.808547
59.618230,-0.198256,-0.063843,-9.807789,-0.154721,0.135837,-9.807839,-0.076816,0.149962,-9.808553
59.620503,-0.198256,-0.063843,-9.807789,-0.154752,0.135774,-9.807840,-0.087136,0.149028,-9.808481
59.622776,-0.198740,-0.062681,-9.807786,-0.154783,0.135713,-9.807840,-0.084609,0.149117,-9.808502
59.625049,-0.198740,-0.062681,-9.807786,-0.154814,0.135652,-9.807840,-0.082238,0.149880,-9.808510
59.627322,-0.198740,-0.062681,-9.807786,-0.154785,0.135652,-9.807841,-0.081248,0.153126,-9.808468
59.629595,-0.198672,-0.064181,-9.807778,-0.154757,0.135653,-9.807841,-0.079159,0.154639,-9.808462
59.631868,-0.198672,-0.064181,-9.807778,-0.154730,0.135653,-9.807842,-0.076713,0.155064,-9.808474
59.634141,-0.198672,-0.064181,-9.807778,-0.154702,0.135654,-9.807842,-0.074662,0.156663,-9.808465
59.636414,-0.198672,-0.064181,-9.807778,-0.154675,0.135654,-9.807842,-0.083231,0.151176,-9.808482
59.638687,-0.198672,-0.064181,-9.807778,-0.154693,0.135657,-9.807842,-0.083227,0.155253,-9.808418
59.640960,-0.198162,-0.065098,-9.807782,-0.154711,0.135659,-9.807842,-0.080927,0.156043,-9.808425
59.643233,-0.198162,-0.065098,-9.807782,-0.154728,0.135661,-9.807842,-0.078540,0.156518,-9.808437
59.645505,-0.198162,-0.065098,-9.807782,-0.154726,0.135673,-9.807841,-0.088827,0.155447,-9.808366
59.647778,-0.198776,-0.063395,-9.807781,-0.154724,0.135685,-9.807841,-0.086205,0.155109,-9.808395
59.650051,-0.198776,-0.063395,-9.807781,-0.154722,0.135697,-9.807841,-0.083670,0.155331,-9.808413
59.652324,-0.198776,-0.063395,-9.807781,-0.154720,0.135708,-9.807841,-0.081224,0.155936,-9.808424
59.654597,-0.198776,-0.063395,-9.807781,-0.154718,0.135720,-9.807841,-0.078811,0.156662,-9.808432
59.656870,-0.198964,-0.064051,-9.807773,-0.154716,0.135731,-9.807841,-0.088669,0.153293,-9.808401
59.659143,-0.198964,-0.064051,-9.807773,-0.154714,0.135742,-9.807841,-0.086352,0.154326,-9.808406
59.661416,-0.198964,-0.064051,-9.807773,-0.154704,0.135702,-9.807841,-0.083927,0.151813,-9.808466
59.663689,-0.198525,-0.063685,-9.807784,-0.154694,0.135663,-9.807842,-0.081346,0.151112,-9.808499
59.665962,-0.198525,-0.063685,-9.807784,-0.154684,0.135624,-9.807843,-0.078952,0.151646,-9.808510
59.668235,-0.198525,-0.063685,-9.807784,-0.154726,0.135587,-9.807843,-0.089173,0.151702,-9.808422
59.670508,-0.198676,-0.063176,-9.807784,-0.154768,0.135550,-9.807842,-0.086562,0.151174,-9.808453
59.672781,-0.198676,-0.063176,-9.807784,-0.154808,0.135514,-9.807842,-0.084138,0.151753,-9.808465
59.675054,-0.198676,-0.063176,-9.807784,-0.154849,0.135478,-9.807842,-0.081762,0.152507,-9.808474
59.677327,-0.198676,-0.063176,-9.807784,-0.154889,0.135443,-9.807842,-0.091641,0.149118,-9.808439
59.679600,-0.198676,-0.063176,-9.807784,-0.154953,0.135432,-9.807841,-0.090105,0.151583,-9.808415
59.681873,-0.198026,-0.064239,-9.807791,-0.155017,0.135422,-9.807840,-0.088046,0.153064,-9.808411
59.684146,-0.198026,-0.064239,-9.807791,-0.155080,0.135412,-9.807839,-0.085732,0.153830,-9.808419
59.686419,-0.198026,-0.064239,-9.807791,-0.155091,0.135453,-9.807839,-0.084708,0.157068,-9.808377
59.688692,-0.197919,-0.064434,-9.807792,-0.155101,0.135493,-9.807838,-0.082437,0.158187,-9.808378
59.690965,-0.197919,-0.064434,-9.807792,-0.155112,0.135533,-9.807837,-0.079931,0.158466,-9.808394
59.693238,-0.197919,-0.064434,-9.807792,-0.155122,0.135573,-9.807837,-0.089594,0.160230,-9.808282
59.695511,-0.197919,-0.064434,-9.807792,-0.155132,0.135611,-9.807836,-0.087045,0.158093,-9.808340
59.697784,-0.199041,-0.062809,-9.807779,-0.155142,0.135650,-9.807835,-0.084423,0.157567,-9.808371
59.700057,-0.199041,-0.062809,-9.807779,-0.155152,0.135688,-9.807834,-0.081986,0.158142,-9.808383
59.702330,-0.199041,-0.062809,-9.807779,-0.155116,0.135763,-9.807834,-0.081119,0.161542,-9.808334
59.704603,-0.199041,-0.062809,-9.807779,-0.155157,0.135816,-9.807833,-0.086751,0.154216,-9.808404
59.706876,-0.199067,-0.063649,-9.807774,-0.155197,0.135867,-9.807831,-0.086544,0.158124,-9.808344
59.709149,-0.199067,-0.063649,-9.807774,-0.155237,0.135919,-9.807830,-0.084692,0.159986,-9.808330
59.711422,-0.199067,-0.063649,-9.807774,-0.155276,0.135969,-9.807829,-0.082309,0.160409,-9.808343
59.713695,-0.199067,-0.063649,-9.807774,-0.155315,0.136019,-9.807827,-0.080191,0.161677,-9.808340
59.715968,-0.199169,-0.062197,-9.807781,-0.155353,0.136068,-9.807826,-0.089210,0.156611,-9.808344
59.718241,-0.199169,-0.062197,-9.807781,-0.155391,0.136117,-9.807825,-0.087404,0.158558,-9.808329
59.720514,-0.199169,-0.062197,-9.807781,-0.155438,0.136067,-9.807825,-0.087347,0.152357,-9.808428
59.722787,-0.198751,-0.064436,-9.807775,-0.155486,0.136018,-9.807825,-0.084777,0.151058,-9.808471
59.725060,-0.198751,-0.064436,-9.807775,-0.155532,0.135969,-9.807825,-0.082874,0.152848,-9.808459
59.727333,-0.198751,-0.064436,-9.807775,-0.155518,0.135952,-9.807825,-0.080562,0.153766,-9.808464
59.729606,-0.197740,-0.064938,-9.807792,-0.155505,0.135935,-9.807825,-0.078131,0.154264,-9.808476
59.731879,-0.197740,-0.064938,-9.807792,-0.155491,0.135918,-9.807826,-0.081785,0.159678,-9.808359
59.734152,-0.197740,-0.064938,-9.807792,-0.155478,0.135902,-9.807826,-0.081968,0.153292,-9.808460
59.736425,-0.197740,-0.064938,-9.807792,-0.155464,0.135885,-9.807827,-0.079588,0.153983,-9.808469
59.738698,-0.197740,-0.064938,-9.807792,-0.155451,0.135865,-9.807827,-0.077130,0.154385,-9.808482
59.740971,-0.198926,-0.063649,-9.807776,-0.155437,0.135846,-9.807828,-0.087436,0.152851,-9.808419
59.743244,-0.198926,-0.063649,-9.807776,-0.155424,0.135827,-9.807828,-0.084888,0.152791,-9.808443
59.745517,-0.198202,-0.064356,-9.807786,-0.155410,0.135807,-9.807829,-0.082422,0.153153,-9.808458
59.747790,-0.198202,-0.064356,-9.807786,-0.155369,0.135875,-9.807828,-0.082071,0.157081,-9.808399
59.750063,-0.198202,-0.064356,-9.807786,-0.155328,0.135942,-9.807828,-0.080354,0.159404,-9.808376
59.752336,-0.198202,-0.064356,-9.807786,-0.155288,0.136008,-9.807828,-0.077992,0.160274,-9.808381
59.754609,-0.198202,-0.064356,-9.807786,-0.155248,0.136073,-9.807828,-0.075511,0.160697,-9.808393
59.756882,-0.197933,-0.065041,-9.807787,-0.155208,0.136137,-9.807827,-0.085808,0.160021,-9.808319
59.759155,-0.197933,-0.065041,-9.807787,-0.155169,0.136201,-9.807827,-0.083182,0.159469,-9.808351
59.761428,-0.197933,-0.065041,-9.807787,-0.155095,0.136248,-9.807828,-0.080546,0.158522,-9.808388
59.763701,-0.198587,-0.063880,-9.807782,-0.155023,0.136294,-9.807828,-0.077972,0.158391,-9.808411
59.765974,-0.198587,-0.063880,-9.807782,-0.154951,0.136339,-9.807829,-0.075508,0.158849,-9.808423
59.768247,-0.198587,-0.063880,-9.807782,-0.154962,0.136314,-9.807829,-0.083561,0.152926,-9.808452
59.770520,-0.200329,-0.061355,-9.807762,-0.154973,0.136290,-9.807829,-0.080966,0.152705,-9.808477
59.772793,-0.200329,-0.061355,-9.807762,-0.154985,0.136266,-9.807829,-0.079939,0.155970,-9.808434
59.775066,-0.200329,-0.061355,-9.807762,-0.154996,0.136242,-9.807829,-0.084530,0.148527,-9.808511
59.777339,-0.200329,-0.061355,-9.807762,-0.155006,0.136219,-9.807829,-0.084056,0.152348,-9.808457
59.779612,-0.198457,-0.064349,-9.807781,-0.155017,0.136196,-9.807830,-0.081620,0.152958,-9.808468
59.781885,-0.198457,-0.064349,-9.807781,-0.155014,0.136176,-9.807830,-0.079464,0.154275,-9.808465
59.784158,-0.198457,-0.064349,-9.807781,-0.155010,0.136157,-9.807830,-0.076863,0.153388,-9.808500
59.786431,-0.198470,-0.064581,-9.807780,-0.155007,0.136138,-9.807831,-0.086048,0.156034,-9.808382
59.788704,-0.198470,-0.064581,-9.807780,-0.155003,0.136119,-9.807831,-0.083596,0.153595,-9.808441
59.790977,-0.198470,-0.064581,-9.807780,-0.155005,0.136126,-9.807831,-0.082044,0.156124,-9.808414
59.793250,-0.198470,-0.064581,-9.807780,-0.155006,0.136133,-9.807831,-0.079473,0.155958,-9.808438
