timestamp,gravity_x,gravity_y,gravity_z,qw,qx,qy,qz
1785874574.573262,1.097212,0.379854,-9.741044,-0.523232,-0.037544,-0.045881,0.850126
1785874574.581922,1.096476,0.380127,-9.741116,-0.523225,-0.037505,-0.045873,0.850132
1785874574.591869,1.096322,0.380015,-9.741138,-0.523213,-0.037502,-0.045863,0.850140
1785874574.597530,1.096818,0.379822,-9.741089,-0.523220,-0.037528,-0.045868,0.850134
1785874574.605725,1.096474,0.380469,-9.741103,-0.523223,-0.037496,-0.045887,0.850133
1785874574.614269,1.097010,0.379089,-9.741096,-0.523235,-0.037555,-0.045842,0.850126
1785874574.620947,1.096852,0.379468,-9.741100,-0.523217,-0.037539,-0.045854,0.850136
1785874574.631037,1.096844,0.379525,-9.741098,-0.523214,-0.037537,-0.045856,0.850139
1785874574.640219,1.096661,0.379777,-9.741109,-0.523221,-0.037522,-0.045862,0.850134
1785874574.648878,1.096425,0.380132,-9.741122,-0.523221,-0.037502,-0.045871,0.850135
1785874574.658161,1.096835,0.380469,-9.741062,-0.523229,-0.037511,-0.045897,0.850128
1785874574.664936,1.096902,0.380703,-9.741046,-0.523225,-0.037508,-0.045909,0.850130
1785874574.673777,1.097179,0.379098,-9.741077,-0.523215,-0.037563,-0.045846,0.850137
1785874574.681459,1.096568,0.380523,-9.741090,-0.523222,-0.037498,-0.045892,0.850133
1785874574.690422,1.096824,0.380357,-9.741068,-0.523226,-0.037514,-0.045892,0.850130
1785874574.698763,1.096708,0.380275,-9.741084,-0.523221,-0.037511,-0.045885,0.850134
1785874574.705417,1.096973,0.379681,-9.741078,-0.523223,-0.037538,-0.045867,0.850132
1785874574.713233,1.097298,0.379609,-9.741044,-0.523220,-0.037555,-0.045872,0.850133
1785874574.720911,1.097050,0.379356,-9.741082,-0.523214,-0.037551,-0.045854,0.850138
1785874574.730577,1.097206,0.379505,-9.741058,-0.523221,-0.037553,-0.045865,0.850133
1785874574.739388,1.096606,0.380619,-9.741082,-0.523225,-0.037497,-0.045898,0.850131
1785874574.748461,1.096775,0.380265,-9.741077,-0.523225,-0.037514,-0.045887,0.850131
1785874574.758373,1.097113,0.379911,-9.741053,-0.523221,-0.037538,-0.045880,0.850133
1785874574.764789,1.097237,0.379393,-9.741059,-0.523212,-0.037558,-0.045861,0.850138
1785874574.774498,1.097247,0.379435,-9.741056,-0.523219,-0.037557,-0.045863,0.850134
1785874574.780764,1.097003,0.379669,-9.741075,-0.523228,-0.037540,-0.045867,0.850129
1785874574.788985,1.096612,0.380335,-9.741093,-0.523221,-0.037505,-0.045885,0.850134
1785874574.800016,1.096865,0.379815,-9.741084,-0.523213,-0.037531,-0.045869,0.850139
1785874574.805877,1.096950,0.379893,-9.741072,-0.523224,-0.037532,-0.045875,0.850132
1785874574.815656,1.097154,0.379431,-9.741067,-0.523213,-0.037553,-0.045860,0.850138
1785874574.823058,1.096919,0.379700,-9.741083,-0.523216,-0.037536,-0.045866,0.850137
1785874574.830745,1.096656,0.380059,-9.741099,-0.523222,-0.037514,-0.045874,0.850133
1785874574.839100,1.096755,0.379478,-9.741110,-0.523219,-0.037534,-0.045852,0.850136
1785874574.847546,1.096504,0.379906,-9.741122,-0.523207,-0.037513,-0.045863,0.850143
1785874574.854448,1.096962,0.380403,-9.741051,-0.523222,-0.037519,-0.045898,0.850132
1785874574.865924,1.097028,0.380173,-9.741052,-0.523222,-0.037528,-0.045889,0.850132
1785874574.870162,1.097122,0.379580,-9.741065,-0.523220,-0.037548,-0.045866,0.850134
1785874574.883190,1.096909,0.379819,-9.741079,-0.523206,-0.037533,-0.045870,0.850143
1785874574.888747,1.096917,0.379738,-9.741082,-0.523213,-0.037535,-0.045867,0.850139
1785874574.896666,1.096840,0.379412,-9.741103,-0.523220,-0.037540,-0.045851,0.850135
1785874574.908345,1.096652,0.379930,-9.741104,-0.523220,-0.037518,-0.045869,0.850135
1785874574.912741,1.096596,0.379954,-9.741109,-0.523209,-0.037515,-0.045868,0.850142
1785874574.922036,1.097146,0.379675,-9.741058,-0.523216,-0.037546,-0.045871,0.850136
1785874574.929815,1.096946,0.379609,-9.741083,-0.523226,-0.037539,-0.045863,0.850131
1785874574.938144,1.097201,0.379057,-9.741076,-0.523208,-0.037566,-0.045845,0.850141
1785874574.946717,1.097024,0.379527,-9.741078,-0.523228,-0.037544,-0.045861,0.850129
1785874574.956689,1.096593,0.380081,-9.741105,-0.523224,-0.037511,-0.045874,0.850133
1785874574.975871,1.096715,0.379964,-9.741096,-0.523217,-0.037520,-0.045872,0.850136
1785874574.975981,1.096489,0.379811,-9.741127,-0.523220,-0.037514,-0.045859,0.850135
1785874574.981647,1.096941,0.379683,-9.741081,-0.523220,-0.037537,-0.045866,0.850135
1785874574.996823,1.096910,0.379821,-9.741079,-0.523217,-0.037532,-0.045871,0.850136
1785874574.996935,1.096896,0.379817,-9.741081,-0.523209,-0.037532,-0.045870,0.850141
1785874575.007344,1.096705,0.379524,-9.741114,-0.523217,-0.037531,-0.045852,0.850137
1785874575.014232,1.096803,0.379687,-9.741097,-0.523222,-0.037531,-0.045862,0.850133
1785874575.022995,1.096847,0.379794,-9.741087,-0.523213,-0.037530,-0.045868,0.850139
1785874575.030773,1.096911,0.379517,-9.741091,-0.523217,-0.037540,-0.045857,0.850136
1785874575.038819,1.097459,0.379653,-9.741024,-0.523233,-0.037560,-0.045879,0.850125
1785874575.047379,1.096848,0.379836,-9.741086,-0.523214,-0.037529,-0.045870,0.850138
1785874575.059767,1.096793,0.379888,-9.741090,-0.523215,-0.037525,-0.045870,0.850138
1785874575.068406,1.096793,0.379504,-9.741105,-0.523215,-0.037536,-0.045854,0.850138
1785874575.075412,1.096376,0.380068,-9.741130,-0.523220,-0.037502,-0.045867,0.850136
1785874575.082372,1.096634,0.379674,-9.741116,-0.523216,-0.037524,-0.045857,0.850138
1785874575.088412,1.096513,0.379749,-9.741127,-0.523223,-0.037516,-0.045857,0.850134
1785874575.097381,1.096837,0.379831,-9.741087,-0.523214,-0.037529,-0.045869,0.850138
1785874575.105017,1.097128,0.379599,-9.741063,-0.523223,-0.037547,-0.045867,0.850132
1785874575.112366,1.096419,0.380560,-9.741106,-0.523220,-0.037491,-0.045890,0.850135
1785874575.124830,1.096618,0.380785,-9.741074,-0.523225,-0.037493,-0.045905,0.850131
1785874575.128839,1.096366,0.380156,-9.741127,-0.523217,-0.037500,-0.045871,0.850138
1785874575.139045,1.097124,0.379244,-9.741078,-0.523219,-0.037557,-0.045851,0.850135
1785874575.146510,1.096437,0.380357,-9.741112,-0.523215,-0.037497,-0.045881,0.850138
1785874575.156539,1.096506,0.380080,-9.741115,-0.523223,-0.037507,-0.045871,0.850134
1785874575.164731,1.097396,0.378673,-9.741069,-0.523208,-0.037584,-0.045833,0.850142
1785874575.172824,1.096781,0.380438,-9.741070,-0.523218,-0.037510,-0.045894,0.850135
1785874575.183203,1.096503,0.380242,-9.741109,-0.523226,-0.037503,-0.045878,0.850131
1785874575.189898,1.096858,0.379400,-9.741101,-0.523220,-0.037541,-0.045851,0.850135
1785874575.199177,1.097059,0.379805,-9.741063,-0.523215,-0.037539,-0.045874,0.850137
1785874575.207330,1.096472,0.380508,-9.741102,-0.523229,-0.037494,-0.045889,0.850129
1785874575.216362,1.096510,0.379972,-9.741118,-0.523230,-0.037510,-0.045867,0.850129
1785874575.224994,1.097106,0.380060,-9.741048,-0.523207,-0.037535,-0.045886,0.850141
1785874575.231856,1.096686,0.380564,-9.741075,-0.523227,-0.037502,-0.045897,0.850129
